time="2022-10-02T02:47:29+08:00" level=info msg="RESTful API listening at: 127.0.0.1:49907"
time="2022-10-02T02:56:48+08:00" level=info msg="[TCP] 127.0.0.1:61999 --> v10.events.data.microsoft.com:443 match DomainSuffix(microsoft.com) using DIRECT"
time="2022-10-02T02:56:50+08:00" level=info msg="[TCP] 127.0.0.1:62003 --> v20.events.data.microsoft.com:443 match DomainSuffix(microsoft.com) using DIRECT"
time="2022-10-02T02:58:40+08:00" level=info msg="[TCP] 127.0.0.1:62106 --> settings-win.data.microsoft.com:443 match DomainSuffix(microsoft.com) using DIRECT"
time="2022-10-02T02:58:42+08:00" level=info msg="[TCP] 127.0.0.1:62110 --> v10.events.data.microsoft.com:443 match DomainSuffix(microsoft.com) using DIRECT"
time="2022-10-02T02:59:34+08:00" level=info msg="[TCP] 127.0.0.1:62140 --> chifsr.lenovomm.com:443 match Match() using 蜂巢专线版[🇮🇲负载均衡节点—主]"
time="2022-10-02T02:59:47+08:00" level=info msg="[TCP] 127.0.0.1:62154 --> 182.254.116.116:80 match GeoIP(CN) using DIRECT"
time="2022-10-02T03:01:20+08:00" level=info msg="[TCP] 127.0.0.1:62219 --> v10.events.data.microsoft.com:443 match DomainSuffix(microsoft.com) using DIRECT"
time="2022-10-02T03:01:24+08:00" level=info msg="[TCP] 127.0.0.1:62225 --> login.live.com:443 match DomainSuffix(live.com) using 蜂巢专线版[🇮🇲负载均衡节点—主]"
time="2022-10-02T03:01:26+08:00" level=info msg="[TCP] 127.0.0.1:62234 --> officeclient.microsoft.com:443 match DomainSuffix(microsoft.com) using DIRECT"
time="2022-10-02T03:01:26+08:00" level=info msg="[TCP] 127.0.0.1:62230 --> officeclient.microsoft.com:443 match DomainSuffix(microsoft.com) using DIRECT"
time="2022-10-02T03:01:26+08:00" level=info msg="[TCP] 127.0.0.1:62237 --> cs.dds.microsoft.com:443 match DomainSuffix(microsoft.com) using DIRECT"
time="2022-10-02T03:01:27+08:00" level=info msg="[TCP] 127.0.0.1:62243 --> ecs.office.com:443 match DomainSuffix(office.com) using DIRECT"
time="2022-10-02T03:01:27+08:00" level=info msg="[TCP] 127.0.0.1:62242 --> ecs.office.com:443 match DomainSuffix(office.com) using DIRECT"
time="2022-10-02T03:01:27+08:00" level=info msg="[TCP] 127.0.0.1:62247 --> login.live.com:443 match DomainSuffix(live.com) using 蜂巢专线版[🇮🇲负载均衡节点—主]"
time="2022-10-02T03:01:28+08:00" level=info msg="[TCP] 127.0.0.1:62259 --> ecs.office.com:443 match DomainSuffix(office.com) using DIRECT"
time="2022-10-02T03:01:28+08:00" level=info msg="[TCP] 127.0.0.1:62261 --> ecs.office.com:443 match DomainSuffix(office.com) using DIRECT"
time="2022-10-02T03:01:28+08:00" level=info msg="[TCP] 127.0.0.1:62254 --> self.events.data.microsoft.com:443 match DomainSuffix(microsoft.com) using DIRECT"
time="2022-10-02T03:01:28+08:00" level=info msg="[TCP] 127.0.0.1:62263 --> mrodevicemgr.officeapps.live.com:443 match DomainSuffix(live.com) using 蜂巢专线版[🇮🇲负载均衡节点—主]"
time="2022-10-02T03:01:29+08:00" level=info msg="[TCP] 127.0.0.1:62265 --> graph.microsoft.com:443 match DomainSuffix(microsoft.com) using DIRECT"
time="2022-10-02T03:01:37+08:00" level=info msg="[TCP] 127.0.0.1:62273 --> activity.windows.com:443 match DomainSuffix(windows.com) using 蜂巢专线版[🇮🇲负载均衡节点—主]"
time="2022-10-02T03:01:49+08:00" level=info msg="[TCP] 127.0.0.1:62279 --> filedownload.lenovo.com:443 match Match() using 蜂巢专线版[🇮🇲负载均衡节点—主]"
time="2022-10-02T03:01:49+08:00" level=info msg="[TCP] 127.0.0.1:62285 --> get.sogou.com:80 match DomainSuffix(sogou.com) using DIRECT"
time="2022-10-02T03:01:50+08:00" level=info msg="[TCP] 127.0.0.1:62290 --> ping.pinyin.sogou.com:80 match DomainSuffix(sogou.com) using DIRECT"
time="2022-10-02T03:01:50+08:00" level=info msg="[TCP] 127.0.0.1:62294 --> config.pinyin.sogou.com:80 match DomainSuffix(sogou.com) using DIRECT"
